Codice comparto;Indirizzo;Carraio;Fronte;Insegna;Anno inizio attivita;Mese inizio attivita;Tipologia merceologica;Descrizione ripartizione;Dettaglio ripartizione;Categoria merceologica;Prevalente;Tipologia locale;Mq tot locale;Mq tot vendita;Tipologia addensamento;Nome addensamento;Sezione censimento;Zona statistica;Numero Circoscrizione;Sezione elettorale;Cap;DO_Y;DO_X
AE;CORSO ADRIATICO 26/B;0;0;;1996;7;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;61045;0;.;;;2665;35;2;0;10129;45.0527345776328;7.65109014494718
AE;CORSO ADRIATICO 6/D;0;0;;1995;4;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;60786;22;.;;;2662;35;2;0;10129;45.0522650828029;7.6534721899499
AE;CORSO ADRIATICO 8;0;0;;2001;5;ALTRO;Acconciatori/estetisti;Estetica;Nessuna;;61976;0;.;;;2662;35;2;84;10129;45.0523179247768;7.65320287895804
AE;CORSO ALCIDE DE GASPERI 18;0;0;;1986;10;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;59291;0;.;;;1157;26;1;57;10129;45.0576769688661;7.66181582707386
AE;CORSO ALCIDE DE GASPERI 18/A;0;0;;1991;12;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;117998;45;.;;;1157;26;1;0;10129;45.0577424822096;7.66190019266079
AE;CORSO ALCIDE DE GASPERI 25/C;0;0;;1979;9;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;59305;0;.;;;1164;26;1;0;10129;45.0568159602183;7.6611670608778
AE;CORSO ALCIDE DE GASPERI 26/C;0;0;;1993;10;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;60509;0;.;N;;1163;26;1;0;10129;45.056976767718;7.6609597712852
AE;CORSO ALCIDE DE GASPERI 2/A;0;0;;1995;12;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;60914;66;.;N;;1150;26;1;0;10129;45.0590474994727;7.66313170624123
AE;CORSO ALCIDE DE GASPERI 45/A;0;0;;2001;6;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;62002;0;.;;;1178;26;1;0;10129;45.0551825240661;7.65918145026934
AE;CORSO ALCIDE DE GASPERI 46/G;0;0;;2011;4;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;115216;20;.;;;1184;26;1;0;10129;45.0548357608483;7.65835708783059
AE;CORSO ALCIDE DE GASPERI 69;1;0;;2009;10;ALTRO;Acconciatori/estetisti;Estetica;Nessuna;;109703;94;.;N;;1191;26;1;67;10129;45.0534068025847;7.65688472546512
AE;CORSO ALCIDE DE GASPERI 71/A;0;0;;1983;6;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;57869;28;.;;;1191;26;1;0;10129;45.0533706694706;7.65683345223382
AE;CORSO ALESSANDRO TASSONI 29/D;0;0;;1966;3;.;Acconciatori/estetisti;Acconciatori;Nessuna;;58343;57;.;N;;1278;29;4;0;10143;45.0796653801898;7.65580256660238
AE;CORSO ALESSANDRO TASSONI 77/A;0;0;;2001;5;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;61994;0;.;N;;2811;29;4;0;10143;45.0846328428101;7.65529033899743
AE;CORSO ALESSANDRO TASSONI 88/C;0;0;;1999;2;ALTRO;Acconciatori/estetisti;Estetica;Nessuna;;61493;66;.;;;1134;25;4;0;10144;45.0864620255633;7.65655640805575
AE;CORSO BELGIO 118/B;0;0;;2006;10;.;Acconciatori/estetisti;Acconciatori;Nessuna;;62437;0;.;N;;985;22;7;0;10153;45.0740685549358;7.72023779919128
AE;CORSO BELGIO 118/B;0;0;;2009;3;ALTRO;Acconciatori/estetisti;Estetica;Nessuna;;107427;14;.;N;;985;22;7;0;10153;45.0740685549358;7.72023779919128
AE;CORSO BELGIO 137/B;0;0;;1979;8;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;59017;0;.;;;974;22;7;0;10153;45.0746175500123;7.72183929538592
AE;CORSO BELGIO 137/E;0;0;;2009;7;.;Acconciatori/estetisti;Acconciatori;Nessuna;;58635;44;.;N;;974;22;7;0;10153;45.074640889935;7.72197668027745
AE;CORSO BELGIO 144;1;0;;2003;1;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;62435;0;.;;;2654;22;7;678;10153;45.0744569205099;7.72252526081964
AE;CORSO BELGIO 148/A;0;0;;1983;9;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;59708;0;.;;;2654;22;7;0;10153;45.0745077870191;7.72282521874742
AE;CORSO BELGIO 159/H;0;0;;2002;5;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;62283;0;.;;;2803;22;7;0;10153;45.0750416522128;7.72433587098419
AE;CORSO BELGIO 174/A;0;0;;1979;10;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;59761;0;.;;;2656;22;7;0;10153;45.0749392681488;7.72537753205301
AE;CORSO BELGIO 174/B;0;0;;2007;1;.;Acconciatori/estetisti;Acconciatori;Nessuna;;58363;15;.;N;;2656;22;7;0;10153;45.0749461577443;7.72541814721219
