COMUNE;PROVINCIA;REGIONE;NOME LOCALITA';ABITANTI LOCALITA';QUOTA LOCALITA';ID FEATURE;CODICE LOCALITA'
ALGHERO;SASSARI;Sardegna;ALGHERO;33677;7;348;1001
ALGHERO;SASSARI;Sardegna;FERTILIA;1146;9;346;1002
ALGHERO;SASSARI;Sardegna;GUARDIA GRANDE;10;30;335;2001
ALGHERO;SASSARI;Sardegna;MARISTELLA PORTO CONTE;379;9;344;1003
ALGHERO;SASSARI;Sardegna;PISCHINA SALIDA;17;5;349;1004
ALGHERO;SASSARI;Sardegna;SANTA MARIA LA PALMA;112;34;330;1005
ALGHERO;SASSARI;Sardegna;SA SEGADA;15;20;339;2002
ALGHERO;SASSARI;Sardegna;TRAMARIGLIO;4;5;345;2003
ANELA;SASSARI;Sardegna;ANELA;924;446;375;1001
ARDARA;SASSARI;Sardegna;ARDARA;688;296;338;1001
BANARI;SASSARI;Sardegna;BANARI;756;419;355;1001
BENETUTTI;SASSARI;Sardegna;BENETUTTI;2292;406;373;1001
BENETUTTI;SASSARI;Sardegna;TERME AURORA;0;254;377;2001
BESSUDE;SASSARI;Sardegna;BESSUDE;508;447;358;1001
BONNANARO;SASSARI;Sardegna;BONNANARO;1195;405;361;1001
BONO;SASSARI;Sardegna;BONO;4053;540;380;1001
BONORVA;SASSARI;Sardegna;BONORVA;4512;508;379;1001
BONORVA;SASSARI;Sardegna;SANTA BARBARA;40;475;382;2001
BORUTTA;SASSARI;Sardegna;BORUTTA;366;471;363;1001
BORUTTA;SASSARI;Sardegna;SAN PIETRO DI SORRES;4;524;364;2001
BOTTIDDA;SASSARI;Sardegna;BOTTIDDA;811;396;386;1001
BULTEI;SASSARI;Sardegna;BULTEI;1366;509;372;1001
BULZI;SASSARI;Sardegna;BULZI;676;201;197;1001
BURGOS;SASSARI;Sardegna;BURGOS;1081;561;387;1001
BURGOS;SASSARI;Sardegna;FORESTA BURGOS;22;725;378;2001
CARGEGHE;SASSARI;Sardegna;CARGEGHE;569;333;326;1001
CARGEGHE;SASSARI;Sardegna;STAZIONE DI CAMPOMELA;17;161;321;2001
CASTELSARDO;SASSARI;Sardegna;CASTELSARDO;3972;114;134;1001
CASTELSARDO;SASSARI;Sardegna;LU BAGNU;1001;24;147;1002
CASTELSARDO;SASSARI;Sardegna;MULTEDDU;72;173;160;2001
CASTELSARDO;SASSARI;Sardegna;PEDRA SCIOLTA;46;148;167;2002
CASTELSARDO;SASSARI;Sardegna;PUNTA TRAMONTANA;5;40;174;2003
CASTELSARDO;SASSARI;Sardegna;SAN GIOVANNI;46;199;171;2004
CASTELSARDO;SASSARI;Sardegna;TERRABIANCA;47;124;143;2005
CHEREMULE;SASSARI;Sardegna;CHEREMULE;558;540;367;1001
CHIARAMONTI;SASSARI;Sardegna;CHIARAMONTI;1835;430;292;1001
CODRONGIANOS;SASSARI;Sardegna;CODRONGIANOS;1187;317;331;1001
COSSOINE;SASSARI;Sardegna;COSSOINE;1077;529;376;1001
ESPORLATU;SASSARI;Sardegna;ESPORLATU;485;473;388;1001
FLORINAS;SASSARI;Sardegna;FLORINAS;1635;417;334;1001
GIAVE;SASSARI;Sardegna;GIAVE;747;595;374;1001
ILLORAI;SASSARI;Sardegna;ILLORAI;1144;515;389;1001
ILLORAI;SASSARI;Sardegna;STAZIONE DEL TIRSO;10;218;390;2001
ITTIREDDU;SASSARI;Sardegna;ITTIREDDU;572;313;360;1001
ITTIRI;SASSARI;Sardegna;ITTIRI;9240;400;342;1001
LAERRU;SASSARI;Sardegna;LAERRU;1098;177;229;1001
MARA;SASSARI;Sardegna;MARA;925;257;381;1001
MARTIS;SASSARI;Sardegna;MARTIS;614;300;272;1001
MONTELEONE ROCCA DORIA;SASSARI;Sardegna;MONTELEONE ROCCA DORIA;140;368;370;1001
MORES;SASSARI;Sardegna;MORES;2002;366;359;1001
MUROS;SASSARI;Sardegna;MUROS;670;308;322;1001
MUROS;SASSARI;Sardegna;SCALA DI GIOCCA;78;131;316;2001
NUGHEDU DI SAN NICOLO';SASSARI;Sardegna;NUGHEDU DI SAN NICOLO';1153;577;357;1001
NULE;SASSARI;Sardegna;NULE;1719;650;371;1001
NULVI;SASSARI;Sardegna;NULVI;3073;478;254;1001
OLMEDO;SASSARI;Sardegna;OLMEDO;2480;68;332;1001
OSILO;SASSARI;Sardegna;LUNGO VALLE;14;182;251;2001
OSILO;SASSARI;Sardegna;OSILO;3447;615;297;1001
OSILO;SASSARI;Sardegna;PIRASTREDDU;90;75;242;2002
OSILO;SASSARI;Sardegna;SAN LORENZO;123;281;256;1002
OSILO;SASSARI;Sardegna;SANTA VITTORIA;125;445;278;2003
OSSI;SASSARI;Sardegna;OSSI;5398;335;323;1001
OZIERI;SASSARI;Sardegna;CHILIVANI;426;226;340;1001
